patterns,Frequency_Interest,Outcome_Interest,likelihood,activities
ER Registration_1,-0.801611558766324,0.3781476883938888,0.9259016376275283,"['ER Registration', 'ER Triage', False]"
ER Registration_2,-0.621839399833287,0.3088698981669541,0.8932592158134167,"['ER Registration', 'CRP', True]"
ER Registration_4,-0.5551542095026396,0.21113458620026837,0.8889426627220252,"['ER Registration', 'Leucocytes', True]"
ER Registration_5,-0.7021394831897749,0.294738697623122,0.9199983370837881,"['ER Registration', 'ER Sepsis Triage', True]"
ER Registration_6,-0.5540427896637956,0.20753081811452098,0.8944565404105831,"['ER Registration', 'Admission NC', True]"
ER Registration_7,0.07696582383995554,0.016405858065181654,0.8671959949576337,"['ER Registration', 'IV Liquid', True]"
ER Registration_9,-0.23089747151986661,0.11613972084292512,0.8879280861686257,"['ER Registration', 'Release A', True]"
ER Triage_3,-0.5879410947485413,0.2551331924670863,0.8872071206569672,"['ER Triage', 'Leucocytes', True]"
ER Triage_5,-0.6151708808002223,0.20757625755089,0.933211397241663,"['ER Triage', 'ER Sepsis Triage', False]"
ER Triage_6,-0.5868296749096972,0.22040359228697112,0.8905665940708585,"['ER Triage', 'Admission NC', True]"
CRP_12,0.12781328146707419,0.032760077696027665,0.8262807995080947,"['CRP', 'IV Liquid', True]"
CRP_14,-0.09808280077799392,0.03193158069557282,0.8833403654818265,"['CRP', 'Release A', True]"
CRP_22,-0.2903584328980272,0.08485334994001843,0.8956755995750427,"['CRP', 'Admission NC', False]"
CRP_27,-0.13892747985551543,0.01774855680316155,0.8983264356851578,"['CRP', 'Release A', False]"
CRP_28,-0.01694915254237288,0.005952490623569312,0.952096164226532,"['CRP', 'Release C', False]"
LacticAcid_4,0.17588218949708254,0.025830508204668576,0.8063143050229108,"['LacticAcid', 'LacticAcid', True]"
LacticAcid_11,0.1019727702139483,0.05025071672225273,0.8225515788456179,"['LacticAcid', 'Admission NC', True]"
LacticAcid_12,0.12392331203111975,0.02349427692321593,0.8321281846831826,"['LacticAcid', 'Release A', True]"
LacticAcid_21,0.03223117532647958,0.004221505878392866,0.9007162004709244,"['LacticAcid', 'Admission IC', False]"
LacticAcid_25,-0.0005557099194220608,2.354381550030704e-06,0.9351507127285004,"['LacticAcid', 'ER Registration', True]"
Leucocytes_7,-0.19088635732147816,0.03281795424243787,0.8881538929762663,"['Leucocytes', 'Admission NC', False]"
Leucocytes_10,0.07529869408168932,0.02140135215602755,0.834162872413109,"['Leucocytes', 'IV Antibiotics', True]"
Leucocytes_18,-0.0658516254515143,0.04338508387330184,0.8662445011891817,"['Leucocytes', 'Release A', True]"
Leucocytes_28,0.03278688524590164,0.01141355768968741,0.8881259858608246,"['Leucocytes', 'ER Registration', False]"
ER Sepsis Triage_5,-0.15532092247846624,0.023358169344361163,0.8885982852233084,"['ER Sepsis Triage', 'Leucocytes', False]"
ER Sepsis Triage_6,-0.37093637121422623,0.14956035675382842,0.8754345146814982,"['ER Sepsis Triage', 'Admission NC', True]"
ER Sepsis Triage_8,-0.2056126701861628,0.040178786672131206,0.9393961131572723,"['ER Sepsis Triage', 'CRP', False]"
ER Sepsis Triage_15,-0.09863851069741592,0.13104332815152986,0.8677631941708651,"['ER Sepsis Triage', 'Release A', True]"
IV Liquid_2,0.1747707696582384,0.03174604802460905,0.8178868159171073,"['IV Liquid', 'Leucocytes', True]"
IV Liquid_3,0.3928869130313976,0.14301357745745025,0.7451156652890719,"['IV Liquid', 'LacticAcid', True]"
IV Liquid_6,0.1747707696582384,0.05447518196306357,0.817131636604186,"['IV Liquid', 'CRP', True]"
IV Liquid_13,0.04918032786885246,0.017225397163570258,0.861051619052887,"['IV Liquid', 'ER Triage', False]"
IV Liquid_16,0.2945262572936927,0.0990080372975521,0.8039590358734131,"['IV Liquid', 'IV Antibiotics', True]"
IV Liquid_20,0.3442622950819672,0.13645013683755475,0.7855570429847354,"['IV Liquid', 'Release A', True]"
IV Liquid_25,0.01639344262295082,0.005672345602729209,0.9125239253044128,"['IV Liquid', 'ER Registration', True]"
IV Antibiotics_15,0.12781328146707419,0.015075819063035734,0.8337185829877853,"['IV Antibiotics', 'Admission NC', False]"
